,I_e,I_i,stability,turing,p_random,p_turing
0,0.0,0.0,1,0,1,0
0,0.0,0.2,1,0,1,0
0,0.0,0.4,1,0,1,0
0,0.0,0.6000000000000001,1,0,1,0
0,0.0,0.8,1,0,1,0
0,0.0,1.0,1,0,1,0
0,0.0,1.2000000000000002,1,0,1,0
0,0.0,1.4000000000000001,1,0,1,0
0,0.0,1.6,1,0,1,0
0,0.0,1.8,1,0,1,0
0,0.0,2.0,1,0,1,0
0,0.0,2.2,1,0,1,0
0,0.0,2.4000000000000004,1,0,1,0
0,0.0,2.6,1,0,1,0
0,0.0,2.8000000000000003,1,0,1,0
0,0.0,3.0,1,0,1,0
0,0.0,3.2,1,0,1,0
0,0.0,3.4000000000000004,1,0,1,0
0,0.0,3.6,1,0,1,0
0,0.0,3.8000000000000003,1,0,1,0
0,0.0,4.0,1,0,1,0
0,0.0,4.2,1,0,1,0
0,0.0,4.4,1,0,1,0
0,0.0,4.6000000000000005,1,0,1,0
0,0.0,4.800000000000001,1,0,1,0
0,0.0,5.0,1,0,1,0
0,0.0,5.2,1,0,1,0
0,0.0,5.4,1,0,1,0
0,0.0,5.6000000000000005,1,0,1,0
0,0.0,5.800000000000001,1,0,1,0
0,0.0,6.0,1,0,1,0
0,0.0,6.2,1,0,1,0
0,0.0,6.4,1,0,1,0
0,0.0,6.6000000000000005,1,0,1,0
0,0.0,6.800000000000001,1,0,1,0
0,0.0,7.0,1,0,1,0
0,0.0,7.2,1,0,1,0
0,0.0,7.4,1,0,1,0
0,0.0,7.6000000000000005,1,0,1,0
0,0.0,7.800000000000001,1,0,1,0
0,0.0,8.0,1,0,1,0
0,0.2,0.0,1,0,1,0
0,0.2,0.2,1,0,1,0
0,0.2,0.4,1,0,1,0
0,0.2,0.6000000000000001,1,0,1,0
0,0.2,0.8,1,0,1,0
0,0.2,1.0,1,0,1,0
0,0.2,1.2000000000000002,1,0,1,0
0,0.2,1.4000000000000001,1,0,1,0
0,0.2,1.6,1,0,1,0
0,0.2,1.8,1,0,1,0
0,0.2,2.0,1,0,1,0
0,0.2,2.2,1,0,1,0
0,0.2,2.4000000000000004,1,0,1,0
0,0.2,2.6,1,0,1,0
0,0.2,2.8000000000000003,1,0,1,0
0,0.2,3.0,1,0,1,0
0,0.2,3.2,1,0,1,0
0,0.2,3.4000000000000004,1,0,1,0
0,0.2,3.6,1,0,1,0
0,0.2,3.8000000000000003,1,0,1,0
0,0.2,4.0,1,0,1,0
0,0.2,4.2,1,0,1,0
0,0.2,4.4,1,0,1,0
0,0.2,4.6000000000000005,1,0,1,0
